Índice;Data;Bloco;Horário;Bairro;partida;dispersao
208;14 de Fevereiro - Sábado;Unidos da Vila;09:00;Consolação;R. Irmã Clotilde;R. João Ubiali
209;14 de Fevereiro - Sábado;Bloco Me Viram no Ipiranga;09:00;Vila Monumento;R. dos Patriotas;R. Bom Pastor e R. dos Patriotas
210;14 de Fevereiro - Sábado;Filhos de Plutão;09:00;Vila Romana;Pça. Jesuino Bandeira;R. Vespasiano
211;14 de Fevereiro - Sábado;Bloco Flor do Desejo;09:00;Água Branca;Praça Cornélia;Praça Cornélia
212;14 de Fevereiro - Sábado;Comparsa Medio Mundo;10:00;Bela Vista;R. Treze de Maio;R. Luiz Porrio
213;14 de Fevereiro - Sábado;Bloco dos Bancários;10:00;Centro Histórico de São Paulo;R. XV de Novembro;R. XV de Novembro e R. São Bento.
214;14 de Fevereiro - Sábado;Bloco Segura a Onça;10:00;Centro Histórico de São Paulo;R. Bento Freitas;R. Marquês de Itu e R. Bento Freitas
215;14 de Fevereiro - Sábado;Bloco Besame Mucho;10:00;Itaim Bibi;Av. Brigadeiro Faria Lima 4100;Av. Brigadeiro Faria Lima 4500
216;14 de Fevereiro - Sábado;TREZEROOTS;10:00;Jardim Japao;R. Kobe;R. Kobe
217;14 de Fevereiro - Sábado;C.U.N.T. Brasil;10:00;Pinheiros;R. Wisard;R. Fradique Coutinho
218;14 de Fevereiro - Sábado;BLOCO AFRIKALIENTE;10:00;República;R. 24 de Maio;Av.Ipiranga
219;14 de Fevereiro - Sábado;Bloco Laço Branco;10:00;República;Pça. da Republica;R. Xavier de Toledo
220;14 de Fevereiro - Sábado;Djongador o Bloco;10:00;República;Av. São Joao;Theatro Municipal
221;14 de Fevereiro - Sábado;ENCRUZILHADAS -FOLIA DO TEATRO ESTUDANTIL;10:00;Santa Cecilia;R. Adolfo Gordo;Pça. Olavo Bilac
222;14 de Fevereiro - Sábado;Bloco Carimbolando;10:00;Vila Buarque;R. Martim Francisco;R. Martim Francisco
223;14 de Fevereiro - Sábado;Bloco Amorikids;10:00;Vila Mariana;Av. Eng. Luiz Gomes Cardim Sangirardi;Av. Eng. Luiz Gomes Cardim Sangirardi
224;14 de Fevereiro - Sábado;Bloquinho da Miúda;10:30;Pompeia;R. Coronel Melo de Oliveira;R. Coronel Melo de Oliveira
225;14 de Fevereiro - Sábado;Bloco da Lisa 2026;11:00;Consolação;R. Augusta 205;R. Augusta 
226;14 de Fevereiro - Sábado;Fico fei nunca 2025;11:00;Lapa;Av. Paulo VI 1529;Av. Paulo VI 
227;14 de Fevereiro - Sábado;Bloco Vem Quem Quer;11:00;Parque Residencial Cocaia;R. Gilberto Freyre;R. Vereador Gomes de Moraes Neto
228;14 de Fevereiro - Sábado;Samby Junior SP;11:00;República;Lgo. do Arouche;Av. Ipiranga (Edifício Copan)
229;14 de Fevereiro - Sábado;Tarado Ni Você;11:00;República;Av. Ipiranga;Teatro Municipal
230;14 de Fevereiro - Sábado;Acadêmicos da Barra Funda;11:00;Várzea da Barra Funda;Av. Marquês de São Vicente 230;Av. Marquês de São Vicente 658
231;14 de Fevereiro - Sábado;Acadêmicos do Gato Mia;11:00;Água Branca;R. Faustolo 809;R. Faustolo 63
232;14 de Fevereiro - Sábado;Rita Seixas Raul Lee;12:00;;R. João Pedro Lecor;R. João Pedro Lecor
233;14 de Fevereiro - Sábado;Bloco Je Treme Mon Amour;12:00;Bela Vista;R. Rui Barbosa;Pça. Dom Orione
234;14 de Fevereiro - Sábado;Vra power o bloco;12:00;Consolação;R. Augusta 205;R. Augusta 
235;14 de Fevereiro - Sábado;Xeró NuZoi;12:00;Jurubatuba;R. Agostino Togneri 555;R. Agostino Togneri 400
236;14 de Fevereiro - Sábado;So pra ter o que fazer;12:00;Parque Peruche;R. Antonio Cavazzam;R. Antonio Cavazzam
237;14 de Fevereiro - Sábado;Bloco Tardes de Emoriô;12:00;República;Av. Ipiranga;Av. São João
238;14 de Fevereiro - Sábado;BLOCO DO ZIRIGUIDUM;12:00;Sumarezinho;R. Fidalga;R. Fidalga
239;14 de Fevereiro - Sábado;Bloco Dramas de Sapatão;12:00;Sé;R. Santa Isabel;R. Santa Isabel
240;14 de Fevereiro - Sábado;O Samba Canta Histórias;12:00;Sé;R. Roberto Simonsen;Pça. Antônio prado
241;14 de Fevereiro - Sábado;Boca 36;12:00;Tatuapé;R. Maria José da Costa;R. Maria José da Costa
242;14 de Fevereiro - Sábado;Bloco Siga La Pelota;12:00;Vila Mariana;Pça. Angel Ramirez;Pça. Angel Ramirez
243;14 de Fevereiro - Sábado;Carna Lau;12:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
244;14 de Fevereiro - Sábado;Bloco dos Coleira;12:00;Vila Santista;Tv. Francisco Adriani;Tv. Francisco Adriani
245;14 de Fevereiro - Sábado;Bloco do Geraldinho;12:00;Vila Sofia;R. Frei Canisio 30;R. Frei Canisio 169
246;14 de Fevereiro - Sábado;Bloco do boi;12:10;Sacomã;Na R. Izonzo do número 459;R. Izonzo do número 397
247;14 de Fevereiro - Sábado;CarNaFest;12:20;Conjunto Habitacional Jova Rural;R. Antônio Sérgio de Matos;R. João Mendes Araújo
248;14 de Fevereiro - Sábado;Torcidatoatoa;13:00;;R. Andréa Della Robbia;R. Andréa Della Robbia
249;14 de Fevereiro - Sábado;Vai Quadricular;13:00;;R. Caraibas;R. Palestra Itália
250;14 de Fevereiro - Sábado;Bloco 77 - Os Originais do Punk;13:00;Barra Funda;R. Barra Funda;R. Barra Funda
251;14 de Fevereiro - Sábado;Brega Bloco;13:00;Bela Vista;R. Treze de Maio;R. Treze de Maio
252;14 de Fevereiro - Sábado;Furduncio Sampa;13:00;Campos Elíseos;R. João Monteiro;Al. Barão de Limeira R. João Monteiro
253;14 de Fevereiro - Sábado;Bloco Jegue Elétrico SP;13:00;Cerqueira César;R. Lisboa;R. Lisboa
254;14 de Fevereiro - Sábado;BLOCO DA PAZ;13:00;Chácara Santo Antônio (Zona Sul);R. da Paz;R. da Paz
255;14 de Fevereiro - Sábado;São Mateus em Movimento;13:00;Cidade São Mateus;R. Domiziano Rossi;Av. Vitaliano Rotellini
256;14 de Fevereiro - Sábado;Unidos do BPM;13:00;Consolação;R. Augusta 205;R. Augusta 
257;14 de Fevereiro - Sábado;Bloco Urubó;13:00;Freguesia do Ó;Largo da Matriz de Nossa Senhora do Ó;Largo da Matriz de Nossa Senhora do Ó
258;14 de Fevereiro - Sábado;Bloco do Gato Preto;13:00;Ipiranga;R. Labatut esquina;R. Gonçalves Ledoo
259;14 de Fevereiro - Sábado;Cachorro Caramelo;13:00;Ipiranga;R. dos Patriotas;R. dos Patriotas
260;14 de Fevereiro - Sábado;Bloco Bateria de Rua;13:00;Itaim Bibi;Av. Brigadeiro Faria Lima 4100;Av. Brigadeiro Faria Lima 4500
261;14 de Fevereiro - Sábado;Bloco João de Barro;13:00;Jardim Arpoador;R. José Porfírio de Souza;R. José Porfilho de Souza
262;14 de Fevereiro - Sábado;Bloco Afro Dandarayó;13:00;Jardim Capelinha;Tv. Jaboatão;Tv. Jaboatão
263;14 de Fevereiro - Sábado;Bloco do Beco;13:00;Jardim Ibirapuera;R. Salgueiro do Campo;R. Aldeia de Joanes
264;14 de Fevereiro - Sábado;Cordão da Padilha;13:00;Jardim Prudência;R. Francisco Teles Dourado;R. Abatira
265;14 de Fevereiro - Sábado;Bloco Meu Amigo Charlie;13:00;Jardim das Bandeiras;R. Filinto de Almeida 149;R. Filinto de Almeida 90
266;14 de Fevereiro - Sábado;Bloco Emo;13:00;Lapa;Av. Paulo VI 1529;Av. Paulo VI 
267;14 de Fevereiro - Sábado;Bloco do Galo;13:00;Perdizes;Tv. Roque Adoglio;Tv. Roque Adoglio
268;14 de Fevereiro - Sábado;Bloco Bastardo;13:00;Pinheiros;R. João Moura;R. João Moura
269;14 de Fevereiro - Sábado;Os Capoeira;13:00;Pinheiros;R. Belmiro Braga;R. Inácio Pereira da Rocha
270;14 de Fevereiro - Sábado;Bloco Minhoqueens;13:00;República;Av. Ipiranga;Shopping Light
271;14 de Fevereiro - Sábado;CarnaVrah;13:00;República;Av. Ipiranga;Av. São João
272;14 de Fevereiro - Sábado;Bloco Chama o Síndico;13:00;Vila Buarque;R. Estevão Lopes;R. Armando Fairbanks (Beco da USP)
273;14 de Fevereiro - Sábado;Axé da Santa;13:00;Vila Buarque;R. Martin Francisco;R. Frederico Abranches
274;14 de Fevereiro - Sábado;Bloco do Bob;13:00;Vila Buarque;R. Bsa. de Itu;R. Bsa. de Itu
275;14 de Fevereiro - Sábado;BLOCO ROLANDO A ROCHA TODA;13:00;Vila Buarque;R. Rocha;R. Rocha
276;14 de Fevereiro - Sábado;Agrada Gregos;13:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
277;14 de Fevereiro - Sábado;Bloco Pira Jussara;13:00;Vila Pirajussara;R. Capitão Paulo Carrilho;R. Capitão Paulo Carrilho
278;14 de Fevereiro - Sábado;BLOCO FORRÓTERAPIA;13:00;Vila Santista;Pça. Padre Aleixo Monteiro Mafra;Pça. Padre Aleixo Monteiro Mafra
279;14 de Fevereiro - Sábado;Bloco Beat Loko;13:00;Várzea da Barra Funda;Av. Marquês de São Vicente 230;Av. Marquês de São Vicente 658
280;14 de Fevereiro - Sábado;Bloco do Adorno;13:00;Água Branca;R. Faustolo 800;R. Faustolo 200
281;14 de Fevereiro - Sábado;Bloco do Sueltos;13:30;Tatuapé;R. Ministro Sinésio Rocha;R. Dr. Francisco Figueiredo Barreto.
282;14 de Fevereiro - Sábado;Forró de Todos;14:00;Jardim Japao;R. Kobe;R. Kobe
283;14 de Fevereiro - Sábado;Grêmio Recreativo Cultural Bloco de Samba Vamo q Vamo;14:00;Jardim Sao Vicente;R. Jose Ferreira Creso;R. Jose Ferreira Crespo
284;14 de Fevereiro - Sábado;Grupo Maracatu Bloco de Pedra;14:00;Jardim das Bandeiras;R. Cipriano Jucá;R. Cipriano Jucá
285;14 de Fevereiro - Sábado;BLOCO CARNAVALESCO KABRA DA PESTE CORO E KACETE;14:00;Parque Nações Unidas;R. Vicente Amato Sobrinho 63;R. Vicente Amato Sobrinho 828
286;14 de Fevereiro - Sábado;Insuportáveis;14:00;Penha de França;R. Ingu;R. Ingu
287;14 de Fevereiro - Sábado;O Bloco Sabbath;14:00;Perdizes;R. Caetés;R. Ministro Gastão Mesquita.
288;14 de Fevereiro - Sábado;Unidos Venceremos;14:00;Pompeia;R. Tucuna;R. Tucuna
289;14 de Fevereiro - Sábado;Perdi foi Tudo/Big Bear;14:00;República;Lgo. do Arouche;Lgo. do Arouche
290;14 de Fevereiro - Sábado;Bloco Carnavalesco Granada;14:00;Vila Itaberaba;Av. Humberto Gomes Maia;Av. Humberto Gomes Maia
291;14 de Fevereiro - Sábado;Bloco dos Zattrevidos;14:00;Vila Zat;R. Jenny Bonilha Costivelli;R. Jenny Bonilha Costivelli
292;14 de Fevereiro - Sábado;Bloco do Saci;15:00;Bela Vista;R. São Domingos;R. São Domingos
293;14 de Fevereiro - Sábado;Bloco Preto ZUMBIIDO Afropercussivo;15:00;Centro Histórico de São Paulo;Lgo. do Paissandu;Lgo. do Paissandu
294;14 de Fevereiro - Sábado;Bloco do Mano Veio e Mano Novo;15:00;Ipiranga;Pça. Padre Aleixo Monteiro Mafra;Pça. Padre Aleixo Monteiro Mafra
295;14 de Fevereiro - Sábado;Piracema Desvairada;15:00;Pompeia;R. Dr. Augusto de Miranda;Pça. Daniel Berciano Villasol
296;14 de Fevereiro - Sábado;Vermelhão;15:00;República;R. Conselheiro Crispiniano;R. Conselheiro Crispiniano
297;14 de Fevereiro - Sábado;Gringolôco;16:00;Pinheiros;R. Inácio Pereira da Rocha 385;R. Inácio Pereira da Rocha 231
298;14 de Fevereiro - Sábado;Bloco Amoribunda;16:00;Vila Mariana;Av. Eng. Luiz Gomes Cardim Sangirardi;Av. Eng. Luiz Gomes Cardim Sangirardi
300;15 de Fevereiro - Domingo;Bunytos de Corpo;08:00;Pompeia;R. Coari;Pça. Rio dos Campos
301;15 de Fevereiro - Domingo;Bloco Saia de Chita;08:00;Vila Romana;R. Marcelina;Pça. Jesuíno Bandeira
302;15 de Fevereiro - Domingo;As Obscênicas;08:00;Vila Santo Estefano;R. Rocha;R. Rocha
303;15 de Fevereiro - Domingo;Folia Retrô;09:00;Sé;Pça. Olavo Bilac;Pça.Olavo Bilac
304;15 de Fevereiro - Domingo;Bloquinho dos pequenos Joaquins;09:00;Vila Mariana;R. Áurea;R. Áurea
305;15 de Fevereiro - Domingo;Bloco do Helipa;10:00;Cidade Nova Heliópolis;R. Anita Tagliaferri;até R. Comandante Taylor
306;15 de Fevereiro - Domingo;Bloco do Rock SP;10:00;Sumarezinho;R. Harmonia 503;R. Harmonia 420
307;15 de Fevereiro - Domingo;Bloco Vai Que Cola;10:00;Sé;R. XV de Novembro;Lgo. do Café
308;15 de Fevereiro - Domingo;Bloco Acorda Madalena;10:00;Vila Madalena;R. Wisard;R. Wisard
309;15 de Fevereiro - Domingo;Berço Eletrico;10:00;Vila Mariana;Av. Eng. Luiz Gomes Cardim Sangirardi;Av. Eng. Luiz Gomes Cardim Sangirardi
310;15 de Fevereiro - Domingo;Bloco BenJores;11:00;Alto de Pinheiros;Av. Prof. Frederico Hermann Júnior 555;Av. Prof. Frederico Hermann Júnior 345
311;15 de Fevereiro - Domingo;Cordão Carnavalesco Amigos Pratododia;11:00;Barra Funda;R. Barra funda;R. Barra funda
312;15 de Fevereiro - Domingo;Fanfarra Xamego;11:00;Barra Funda;R. dos Americanos;R. Padre Luís Alves de Siqueira
313;15 de Fevereiro - Domingo;Bloco do Temperadinho;11:00;Cidade Nova Heliópolis;R. Miguel Garcia;Pça. Santa Marina Virgem
314;15 de Fevereiro - Domingo;Coreto;11:00;Consolação;R. Augusta 205;R. Augusta 
315;15 de Fevereiro - Domingo;Domingo Ela não Vai;11:00;República;Av. Ipiranga;R. Cel. Xavier de Toledo
316;15 de Fevereiro - Domingo;Bloco Tá Suavi;11:00;Sé;R. Marcondes Machado 56;R. Marcondes Machado 300
317;15 de Fevereiro - Domingo;Sol na Cara!;11:00;Sé;R. Quintino Bocaiuva;R. Quintino Bocaiuva
318;15 de Fevereiro - Domingo;Sertanejinho do Teló;11:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
319;15 de Fevereiro - Domingo;Vem que a Folia é de Praxe;12:00;;R. Jacintho Pereira;R. Jacintho Pereira
320;15 de Fevereiro - Domingo;Botecagem;12:00;;Av. Helio Pellegrino 200;Av. Helio Pellegrino 800
321;15 de Fevereiro - Domingo;Bloco Samba Rock e Serpentina;12:00;Barra Funda;R.Camarajibe;R. Conselheiro Brotero
322;15 de Fevereiro - Domingo;BLOCO DA CANOAH;12:00;Barra Funda;R. Conselheiro Brotero;R. Vitorino Carmilo
323;15 de Fevereiro - Domingo;Bloco Carnavalesco Cultural Caramba do Caramba;12:00;Itaim Paulista;R. Padre Virgílio Campelo 501;R. Padre Virgílio Campelo 399
324;15 de Fevereiro - Domingo;Bloco do Hercu;12:00;Jardim Angela;R. Ignácio Limas;R. Ignácio Limas
325;15 de Fevereiro - Domingo;Vampirão dos Paredão;12:00;Jardim Pedreira;R. do Sossego 330;R. do Sossego 03
326;15 de Fevereiro - Domingo;Bloco Ritaleena;12:00;Vila Madalena;Av. Eng. Eusébio Estevaux (entre R. Maria Clara Martins da Silveira e R. Moacir Padilha);Av. Eng. Eusébio Estevaux (entre R. Maria Clara Martins da Silveira e R. Moacir Padilha)
327;15 de Fevereiro - Domingo;Bota pra Ferver;13:00;;R. Augusta 205;R. Augusta 
328;15 de Fevereiro - Domingo;Chora e Rebola;13:00;Bela Vista;R. Rui Barbosa;Pça. Álvaro de Carvalho Aranha
329;15 de Fevereiro - Domingo;Carna Mooca Bééééllo;13:00;Belenzinho;R. Itabaiana;R. Itabaiana
330;15 de Fevereiro - Domingo;Bloco da next;13:00;Bom Retiro;R. José Paulino 577;R. José Paulino 07
331;15 de Fevereiro - Domingo;Zabumbeabá;13:00;Butantã;Pça. Elis Regina;Pça. Elis Regina
332;15 de Fevereiro - Domingo;bloco da periferia;13:00;Cangaiba;Pça. Barra do Ouro;R. Miguel Garcia
333;15 de Fevereiro - Domingo;Bloco Jegue Elétrico SP;13:00;Cerqueira César;R. Lisboa ;R. Lisboa
334;15 de Fevereiro - Domingo;Bloco Unidos da Macieira;13:00;Chácara Nani;R. Macieira do Sul;R. Macieira do Sul
335;15 de Fevereiro - Domingo;Guerreiro da Comunidade Jova Rural;13:00;Chácara Sonho Azul;R. São Jorge;R. São Jorge
336;15 de Fevereiro - Domingo;Bloco Urubó;13:00;Freguesia do Ó;Largo da Matriz de Nossa Senhora do Ó;Largo da Matriz de Nossa Senhora do Ó
337;15 de Fevereiro - Domingo;Bloco 89;13:00;Itaim Bibi;Av. Brigadeiro Faria Lima 4100;Av. Brigadeiro Faria Lima 4500
338;15 de Fevereiro - Domingo;Bloco Galera da Rampa;13:00;Jardim Guaruja;R. Renato da Cunha;R. Leticia
339;15 de Fevereiro - Domingo;Só Chora Quem Ama;13:00;Jardim Peri Peri;Av. Junta Mizumoto;R. Dona Layr Costa Rego (ida e volta)
340;15 de Fevereiro - Domingo;Deus Me Livre de Fofoca;13:00;Jardim Santo André;Pça. Jd. Sto. André;Pça. Jd. Sto. André
341;15 de Fevereiro - Domingo;Bloco do Litraço;13:00;Jardim São Luís;R. Dr. Octacílio de Carvalho Lopes;R. Dr. Octacílio de Carvalho Lopes
342;15 de Fevereiro - Domingo;Bloco do Amorozo;13:00;Jardim das Laranjeiras;Pça. Delegado Amoroso Neto;Pça. Delegado Amoroso Neto
343;15 de Fevereiro - Domingo;ONG Bloco Vai Quem Quer;13:00;Parque Santo Antônio;R. Bruno Felisberto Cavinato;R. Bruno felisberto Cavinato
344;15 de Fevereiro - Domingo;Bloco Carnavalesco Búfalos de Vila Prudente;13:00;Parque da Vila Prudente;R. José dos Reis;Pça. Santa Helena
345;15 de Fevereiro - Domingo;Bloquinho Gente Miúda;13:00;Perdizes;Av Prof. Alfonso Bovero;R. Prof. Alfonso Bovero
346;15 de Fevereiro - Domingo;Bloco Bastardo;13:00;Pinheiros;R. João Moura;R. João Moura
347;15 de Fevereiro - Domingo;Tia eh o Caraleo;13:00;Vila Anastácio;Pça. Padre Arnaldo;Pça. Padre Arnaldo
348;15 de Fevereiro - Domingo;Trembala;13:00;Vila Carbone;R. Piracanjuba;R. Piracanjuba
349;15 de Fevereiro - Domingo;Carna GAMF;13:00;Vila Gumercindo;Pça. José Augusto Velloso;Pça. José Augusto Velloso
350;15 de Fevereiro - Domingo;PikaOpéNoSamba;13:00;Vila Inglesa;R. Fernão Lopes;R. Constantino Maroqui
351;15 de Fevereiro - Domingo;Descaxota;13:00;Vila Nova Cachoeirinha;R. Puxixana;R. Ouvido José Santana
352;15 de Fevereiro - Domingo;Bloco Pinga Ni Mim;13:00;Vila Nova Conceição;Av. Helio Pellegrino 200;Av. Helio Pellegrino 800
353;15 de Fevereiro - Domingo;Bloco da Cambona;13:00;Vila Pirajussara;R. da Fonte R. Padre Justino;Pça. do Morro do Querosene
